amount,is_high_risk_country,is_new_device,txn_per_minute,time_since_last_txn,amount_zscore,high_amount,velocity_risk,hour,day_of_week,is_fraud
56.31,0,0,3,16.141963677976193,-0.53,0,0,0,0,0
361.21,0,0,6,28.72120538048407,2.02,1,0,16,0,0
158.01,0,0,2,91.47752580690207,0.32,0,0,18,6,0
109.55,0,0,8,96.04629004069096,-0.08,0,1,3,2,0
20.35,0,0,4,40.107811621870354,-0.83,0,0,16,0,0
20.35,0,0,8,20.365379430297605,-0.83,0,1,22,2,0
7.18,0,0,8,137.19450294921063,-0.94,0,1,15,4,0
241.35,0,0,8,11.84442239586546,1.02,0,1,15,0,0
110.29,0,0,1,59.24743558206356,-0.08,0,0,16,4,0
147.75,0,0,5,91.08943196973864,0.24,0,0,3,5,0
2.5,1,0,6,143.49369248691636,-0.98,0,0,6,5,0
420.43,0,1,9,1.6348154439827487,2.52,1,1,18,5,0
214.37,0,0,9,43.6905858545066,0.79,0,1,23,0,0
28.64,0,0,5,12.740569843755896,-0.76,0,0,12,6,0
24.08,0,0,3,5.65369147653593,-0.8,0,1,9,0,0
24.31,0,0,9,8.333836492933179,-0.8,0,1,17,6,0
43.53,0,0,6,1.814250188483483,-0.64,0,1,17,3,0
89.27,0,0,7,23.367725875062273,-0.25,0,1,22,0,0
67.86,0,0,4,21.66954733037735,-0.43,0,0,2,4,0
41.31,0,0,3,22.43613205006154,-0.65,0,0,19,3,0
113.56,0,0,4,47.70102430749616,-0.05,0,0,20,1,0
18.03,0,0,7,7.038925660098811,-0.85,0,1,16,1,0
41.46,0,0,7,32.985279434145724,-0.65,0,1,0,3,0
54.75,0,1,7,15.462663377870031,-0.54,0,1,3,4,0
73.07,0,0,7,20.924074332344144,-0.39,0,1,12,4,0
184.55,0,0,8,42.98187968124766,0.54,0,1,18,6,0
26.73,0,0,7,51.54755105909568,-0.78,0,1,2,3,0
86.64,0,1,7,33.79094945330704,-0.28,0,1,21,0,0
107.7,0,0,1,97.83371487712971,-0.1,0,0,3,2,0
5.71,0,0,9,20.018428894886757,-0.95,0,1,14,6,0
112.24,0,0,8,74.15671923383613,-0.06,0,1,6,2,0
22.44,0,0,7,3.027887832847931,-0.81,0,1,19,6,0
8.07,0,0,7,167.52945274564416,-0.93,0,1,2,1,0
356.84,0,0,1,28.025294186650985,1.98,1,0,17,2,0
404.48,0,1,2,78.16015380644579,2.38,1,0,3,0,0
198.28,0,0,6,23.459838061826165,0.66,0,0,17,2,0
43.59,0,0,6,17.523585210462965,-0.63,0,0,1,5,0
12.33,0,1,8,5.2761816798656245,-0.9,0,1,8,5,0
138.33,0,1,7,53.243266128807434,0.16,0,1,4,5,1
69.61,0,0,3,13.048156175767373,-0.42,0,0,12,6,0
15.62,0,0,1,13.859174995389068,-0.87,0,0,23,3,0
82.03,0,0,7,0.4382154292890942,-0.31,0,1,10,5,0
4.2,0,0,1,14.11797651249477,-0.96,0,0,8,3,0
288.05,0,0,9,69.05449051814499,1.41,1,1,23,1,0
35.93,0,0,5,8.342182030442816,-0.7,0,1,0,2,0
130.35,0,0,9,17.06754995097298,0.09,0,1,0,3,0
44.83,0,0,4,19.50956867425134,-0.62,0,0,21,4,0
88.09,0,0,7,85.50802512784283,-0.26,0,1,8,2,0
94.95,0,0,9,5.797219552762558,-0.21,0,1,10,1,0
24.53,0,0,6,2.870481078197133,-0.79,0,1,0,3,0
419.14,0,0,6,4.196970998227697,2.5,1,1,11,4,0
179.07,0,0,2,19.914773168790962,0.5,0,0,13,5,0
336.61,0,0,8,5.7244800038793455,1.81,1,1,15,5,0
270.26,0,0,2,61.703842378461296,1.26,1,0,5,2,0
109.33,0,0,5,13.183686045645688,-0.09,0,0,6,1,0
